city_id,name,province_id,area(km²),population
175,Lac-Brome,11,207.29,5495
176,Bromont,11,114.13,9041
177,Brossard,11,45.23,85721
178,Brownsburg-Chatham,11,247.40,7122
179,Candiac,11,17.31,21047
180,Cap-Chat,11,182.05,2476
181,Cap-Santé,11,54.53,3400
182,Carignan,11,62.27,9462
183,Carleton-sur-Mer,11,221.42,4073
184,Causapscal,11,161.60,2304
185,Chambly,11,25.13,29120
186,Chandler,11,419.34,7546
187,Chapais,11,63.71,1499
188,Charlemagne,11,2.19,5913
189,Châteauguay,11,35.95,47906
190,Château-Richer,11,229.55,4126
191,Chibougamau,11,698.13,7504
192,Clermont,11,51.59,3085
193,Coaticook,11,219.51,8698
194,Contrecoeur,11,61.51,7887
195,Cookshire-Eaton,11,296.38,5393
196,Côte Saint-Luc,11,6.96,32448
197,Coteau-du-Lac,11,46.89,7044
198,Cowansville,11,46.89,13656
199,Danville,11,151.98,3826
200,Daveluyville,11,2.23,965
201,Dégelis,11,557.05,2863
202,Delson,11,7.63,7457
203,Desbiens,11,10.40,1028
204,Deux-Montagnes,11,6.09,17496
205,Disraeli,11,6.79,2336
206,Dolbeau-Mistassini,11,295.49,14250
207,Dollard-des-Ormeaux,11,14.97,48899
208,Donnacona,11,20.13,7200
209,Dorval,11,20.91,18980
210,Drummondville,11,247.15,75423
211,Dunham,11,194.06,3432
212,Duparquet,11,123.57,666
213,East Angus,11,7.89,3659
214,Estérel,11,12.57,196
215,Farnham,11,92.26,8909
216,Fermont,11,476.89,2474
217,Forestville,11,195.05,3081
218,Fossambault-sur-le-Lac,11,11.53,1960
219,Gaspé,11,1121.43,14568
220,Gatineau,11,342.80,276245
221,Gracefield,11,386.84,2462
222,Granby,11,152.79,66222
223,Grande-Rivière,11,87.86,3408
224,Hampstead,11,1.80,6973
225,Hudson,11,21.87,5185
226,Huntingdon,11,2.78,2444
227,Joliette,11,22.97,20484
228,Kingsey Falls,11,69.64,1947
229,Kirkland,11,9.63,20151
230,La Malbaie,11,459.24,8271
231,La Pocatière,11,21.63,4120
232,La Prairie,11,43.68,24110
233,La Sarre,11,148.50,7282
234,La Tuque[QC 1],11,25112.41,11001
235,Lac-Delage,11,1.59,638
236,Lachute,11,109.96,12862
237,Lac-Mégantic,11,21.95,5654
238,Lac-Saint-Joseph,11,33.69,260
239,Lac-Sergent,11,3.76,497
240,L'Ancienne-Lorette,11,7.72,16543
241,L'Assomption,11,98.99,22429
242,Laval,11,247.23,422993
243,Lavaltrie,11,68.39,13657
244,Lebel-sur-Quévillon,11,40.89,2187
245,L'Épiphanie,11,2.30,5493
246,Léry,11,10.53,2318
247,Lévis,11,449.05,143414
248,L'Île-Cadieux,11,0.59,126
249,L'Île-Dorval[QC 2],11,0.19,5
250,L'Île-Perrot,11,5.55,10756
251,Longueuil,11,115.75,239700
252,Lorraine,11,5.92,9352
253,Louiseville,11,63.85,7152
254,Macamic,11,202.70,2751
255,Magog,11,144.47,26669
256,Malartic,11,148.85,3377
257,Maniwaki,11,5.98,3853
258,Marieville,11,63.23,10725
259,Mascouche,11,107.00,46692
260,Matagami,11,75.03,1453
261,Matane,11,196.08,14311
262,Mercier,11,46.08,13115
263,Métabetchouan–Lac-à-la-Croix,11,187.23,3985
264,Métis-sur-Mer,11,48.60,587
265,Mirabel,11,485.07,50513
266,Mont-Joli,11,24.20,6281
267,Mont-Laurier,11,591.27,14116
268,Montmagny,11,124.51,11255
269,Montreal[QC 3],11,365.65,1704694
270,Montreal West,11,1.37,5050
271,Montréal-Est,11,12.24,3850
272,Mont-Saint-Hilaire,11,44.19,18585
273,Mont-Tremblant,11,235.06,9646
274,Mount Royal,11,7.53,20276
275,Murdochville,11,61.37,651
276,Neuville,11,71.99,4392
277,New Richmond,11,171.34,3706
278,Nicolet,11,95.93,8169
279,Normandin,11,212.46,3033
280,Notre-Dame-de-l'Île-Perrot,11,28.21,10654
281,Notre-Dame-des-Prairies,11,18.20,9273
282,Otterburn Park,11,5.37,8421
283,Paspébiac,11,94.47,3164
284,Percé,11,431.37,3103
285,Pincourt,11,7.11,14558
286,Plessisville,11,4.40,6551
287,Pohénégamook,11,340.44,2582
288,Pointe-Claire,11,18.90,31380
289,Pont-Rouge,11,121.20,9240
290,Port-Cartier,11,1102.09,6799
291,Portneuf,11,109.39,3187
292,Prévost,11,34.58,13002
